point_id,scenario_name,target_return,portfolio_return,portfolio_risk
13,short_limit_25pct,0.0021509962067556804,0.00215099620675568,0.011022054723006778
14,short_limit_25pct,0.002335383272680271,0.0023353832726802715,0.011422215904674878
15,short_limit_25pct,0.002519770338604862,0.002519770338604862,0.011842226548756593
16,short_limit_25pct,0.002704157404529453,0.0027041574045294525,0.01228235859478046
17,short_limit_25pct,0.002888544470454044,0.0028885444704540436,0.012748860724384416
18,short_limit_25pct,0.003072931536378635,0.003072931536378635,0.013240694725703364
19,short_limit_25pct,0.003257318602303226,0.003257318602303226,0.01375511265120138
20,short_limit_25pct,0.003441705668227817,0.0034417056682278175,0.014289674081773831
21,short_limit_25pct,0.0036260927341524077,0.0036260927341524073,0.014842202599554937
22,short_limit_25pct,0.003810479800076999,0.003810479800076999,0.015410765762338225
23,short_limit_25pct,0.00399486686600159,0.00399486686600159,0.015993653599342485
24,short_limit_25pct,0.00417925393192618,0.004179253931926181,0.01658939243238886
25,short_limit_25pct,0.004363640997850772,0.004363640997850772,0.017198081607957633
26,short_limit_25pct,0.0045480280637753626,0.0045480280637753626,0.017821936438401548
27,short_limit_25pct,0.004732415129699953,0.004732415129699954,0.018460963359877455
28,short_limit_25pct,0.004916802195624544,0.004916802195624544,0.019116625653968003
29,short_limit_25pct,0.0051011892615491355,0.0051011892615491355,0.019788728473385264
30,short_limit_25pct,0.005285576327473726,0.005285576327473726,0.020475651550810086
31,short_limit_25pct,0.005469963393398317,0.005469963393398317,0.021175952514771407
32,short_limit_25pct,0.0056543504593229085,0.00565435045932291,0.02188834733659954
33,short_limit_25pct,0.005838737525247499,0.0058387375252475,0.0226116929695128
34,short_limit_25pct,0.00602312459117209,0.00602312459117209,0.023346011721905764
35,short_limit_25pct,0.0062075116570966815,0.006207511657096681,0.024093510660917937
36,short_limit_25pct,0.006391898723021272,0.006391898723021271,0.024853771005531492
37,short_limit_25pct,0.006576285788945863,0.006576285788945863,0.02563232239283669
38,short_limit_25pct,0.0067606728548704545,0.006760672854870454,0.026453641450842412
39,short_limit_25pct,0.006945059920795045,0.006945059920795046,0.02731909259999713
40,short_limit_25pct,0.007129446986719636,0.007129446986719636,0.028227893713645712
41,short_limit_25pct,0.007313834052644227,0.007313834052644227,0.029178391187996915
42,short_limit_25pct,0.007498221118568818,0.007498221118568817,0.030167303338442374
43,short_limit_25pct,0.007682608184493409,0.007682608184493409,0.03119587040464545
44,short_limit_25pct,0.007866995250418,0.007866995250418,0.03227499076761178
45,short_limit_25pct,0.008051382316342592,0.008051382316342592,0.03340190889142911
46,short_limit_25pct,0.008235769382267184,0.008235769382267185,0.03457264436920581
47,short_limit_25pct,0.008420156448191773,0.008420156448191773,0.035793570069190844
48,short_limit_25pct,0.008604543514116365,0.008604543514116363,0.03706843963958688
49,short_limit_25pct,0.008788930580040957,0.008788930580040957,0.03840228922585332
50,short_limit_25pct,0.008973317645965546,0.008973317645965546,0.0397910935847499
51,short_limit_25pct,0.009157704711890138,0.009157704711890138,0.04122929952187995
52,short_limit_25pct,0.009342091777814728,0.009342091777814728,0.04271191697728935
53,short_limit_25pct,0.00952647884373932,0.00952647884373932,0.04423465832850992
54,short_limit_25pct,0.009710865909663911,0.00971086590966391,0.04580933025995537
55,short_limit_25pct,0.0098952529755885,0.009895252975588503,0.047442219377849766
56,short_limit_25pct,0.010079640041513092,0.010079640041513092,0.04912752087098307
57,short_limit_25pct,0.010264027107437684,0.010264027107437686,0.05086002478887635
58,short_limit_25pct,0.010448414173362274,0.010448414173362274,0.052635070278932244
59,short_limit_25pct,0.010632801239286865,0.010632801239286865,0.05444849687694458
60,short_limit_25pct,0.010817188305211457,0.010817188305211457,0.05629659569134698
61,short_limit_25pct,0.011001575371136047,0.011001575371136047,0.05819176268671594
62,short_limit_25pct,0.011185962437060638,0.011185962437060638,0.06019333252309221
63,short_limit_25pct,0.01137034950298523,0.011370349502985232,0.062305802539667006
64,short_limit_25pct,0.01155473656890982,0.011554736568909818,0.06451834113101856
65,short_limit_25pct,0.011739123634834411,0.011739123634834411,0.06685027364414371
66,short_limit_25pct,0.011923510700759003,0.011923510700759001,0.06931309314722343
67,short_limit_25pct,0.012107897766683593,0.012107897766683593,0.0718933496805331
68,short_limit_25pct,0.012292284832608184,0.012292284832608184,0.07459340994215898
69,short_limit_25pct,0.012476671898532776,0.012476671898532776,0.07745994762245709
70,short_limit_25pct,0.012661058964457366,0.012661058964457367,0.08048155253798027
71,short_limit_25pct,0.012845446030381957,0.012845446030381957,0.08364142063923014
72,short_limit_25pct,0.013029833096306549,0.013029833096306549,0.08697345767969027
73,short_limit_25pct,0.013214220162231139,0.013214220162231137,0.09080383056212762
74,short_limit_25pct,0.01339860722815573,0.013398607228155729,0.09523526710879164
75,short_limit_25pct,0.013582994294080322,0.013582994294080298,0.10135415734787494
76,short_limit_25pct,0.013767381360004912,0.013767381360004903,0.10922100525462901
77,short_limit_25pct,0.013951768425929503,0.013951768425929482,0.11848816157188281
78,short_limit_25pct,0.014136155491854095,0.014136155491854078,0.12885384954768128
79,short_limit_25pct,0.014320542557778685,0.014320542557778674,0.1400744028027509
80,short_limit_25pct,0.014504929623703276,0.014504929623703266,0.15196057305945235
